replica	 cross
0	823.468
1	791.047
2	827.773
3	827.558
4	802.897
5	863.514
6	858.913
7	817.153
8	815.748
9	820.281
10	825.002
11	809.825
12	856.724
13	812.476
14	826.562
15	826.171
16	818.088
17	808.734
18	834.973
19	823.978
20	849.701
21	822.84
22	808.074
23	884.752
24	810.752
25	824.957
26	863.802
27	821.555
28	824.819
29	838.542
30	829.294
31	808.369
32	803.066
33	815.672
34	825.078
35	810.405
36	822.988
37	847.583
38	818.202
39	804.972
40	815.932
41	812.566
42	812.187
43	825.987
44	845.055
45	813.434
46	814.838
47	818.795
48	824.891
49	821.227
50	822.055
51	792.268
52	812.871
53	832.362
54	811.374
55	816.329
56	827.925
57	827.088
58	830.074
59	826.894
60	813.545
61	823.186
62	820.431
63	825.134
64	836.361
65	802.259
66	817.968
67	778.528
68	794.723
69	823.139
70	820.091
71	808.473
72	812.869
73	797.205
74	806.991
75	831.431
76	809.814
77	806.856
78	820.209
79	808.018
80	816.933
81	813.09
82	804.388
83	842.976
84	822.263
85	801.508
86	813.683
87	824.368
88	861.784
89	854.735
90	811.725
91	816.936
92	810.855
93	834.362
94	839.29
95	819.035
96	826.831
97	819.039
98	815.375
99	848.424
100	804.595
101	820.832
102	817.761
103	841.259
104	839.588
105	826.399
106	821.95
107	822.46
108	814.007
109	800.831
110	860.89
111	850.22
112	819.514
113	836.231
114	801.566
115	812.578
116	813.362
117	819.137
118	817.512
119	810.812
120	813.775
121	817.417
122	813.797
123	807.408
124	827.019
125	814.649
126	834.464
127	853.286
128	810.359
129	847.065
130	842.748
131	826.666
132	846.871
133	828.036
134	821.22
135	828.902
136	813.435
137	829.211
138	833.701
139	838.646
140	825.88
141	819.535
142	817.567
143	823.959
144	820.235
145	824.908
146	821.285
147	808.846
148	821.751
149	820.647
150	847.338
151	800.178
152	818.501
153	805.95
154	789.214
155	852.334
156	817.454
157	838.24
158	847.553
159	818.038
160	797.297
161	815.07
162	784.488
163	836.856
164	814.878
165	833.172
166	815.353
167	846.109
168	838.968
169	820.636
170	797.532
171	805.713
172	819.806
173	824.162
174	824.319
175	814.225
176	829.883
177	816.776
178	822.037
179	800.678
180	825.122
181	836.038
182	830.315
183	826.563
184	832.126
185	810.545
186	807.928
187	826.225
188	839.819
189	800.312
190	835.347
191	817.935
192	878.576
193	810.041
194	837.202
195	823.367
196	835.425
197	849.197
198	823.114
199	792.363
200	821.648
201	828.811
202	821.727
203	812.138
204	816.645
205	836.797
206	823.845
207	824.38
208	828.741
209	845.535
210	833.954
211	828.88
212	838.392
213	810.278
214	818.795
215	830.817
216	828.257
217	827.224
218	821.563
219	832.11
220	827.436
221	815.544
222	831.71
223	815.655
224	805.575
225	827.808
226	829.066
227	812.55
228	811.842
229	793.183
230	833.429
231	821.423
232	817.049
233	845.524
234	831.602
235	817.196
236	831.62
237	840.27
238	826.838
239	841.638
240	811.434
241	818.443
242	830.82
243	815.193
244	819.801
245	846.033
246	803.213
247	841.383
248	845.36
249	798.428
250	834.227
251	839.706
252	805.111
253	823.152
254	868.62
255	822.425
256	834.934
257	822.121
258	820.033
259	821.928
260	827.437
261	819.931
262	826.153
263	825.025
264	820.877
265	823.91
266	838.303
267	808.504
268	847.4
269	812.282
270	835.51
271	818.457
272	815.745
273	830.543
274	818.634
275	787.843
276	840.101
277	821.55
278	832.293
279	821.219
280	823.868
281	833.842
282	831.081
283	821.741
284	817.012
285	798.764
286	823.266
287	839.124
288	828.289
289	828.89
290	822.973
291	851.017
292	837.818
293	804.874
294	826.494
295	817.322
296	862.51
297	821.636
298	814.139
299	821.7
300	833.529
301	810.847
302	839.561
303	819.619
304	818.242
305	813.345
306	821.537
307	828.79
308	830.058
309	834.658
310	822.251
311	811.344
312	818.524
313	837.992
314	832.87
315	831.626
316	864.319
317	825.53
318	829.873
319	809.835
320	809.077
321	811.927
322	842.388
323	810.919
324	823.402
325	818.248
326	815.088
327	801.948
328	822.086
329	809.372
330	817.931
331	823.589
332	817.713
333	858.104
334	836.857
335	811.381
336	818.637
337	809.16
338	830.727
339	826.753
340	817.151
341	824.33
342	843.737
343	842.322
344	836.541
345	836.547
346	811.169
347	820.358
348	823.771
349	820.892
350	826.258
351	817.158
352	846.464
353	835.729
354	840.04
355	798.657
356	793.11
357	828.273
358	845.034
359	841.903
360	872.629
361	827.686
362	802.116
363	810.251
364	835.012
365	820.393
366	804.566
367	809.309
368	818.896
369	834.57
370	819.45
371	822.035
372	825.521
373	831.776
374	834.359
375	823.707
376	850.604
377	873.767
378	835.075
379	806.758
380	828.201
381	813.493
382	834.275
383	827.685
384	840.57
385	823.576
386	826.938
387	820.578
388	836.096
389	829.1
390	807.768
391	832.499
392	805.655
393	792.544
394	823.741
395	796.53
396	817.385
397	896.496
398	825.994
399	827.969
400	807.962
401	832.588
402	816.078
403	818.342
404	795.488
405	818.175
406	830.835
407	820.613
408	823.922
409	833.285
410	808.145
411	837.462
412	839.432
413	824.916
414	825.59
415	817.569
416	828.044
417	835.071
418	809.179
419	840.373
420	826.827
421	821.854
422	816.391
423	815.016
424	806.449
425	837.875
426	813.157
427	824.92
428	818.027
429	822.093
430	834.65
431	817.188
432	822.507
433	823.472
434	833.375
435	834.676
436	819.218
437	818.347
438	806.424
439	827.696
440	794.793
441	815.038
442	815.855
443	831.55
444	803.277
445	813.568
446	804.157
